               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.017901,           0.0059974,          0.00051524,             0.96546,                   1,               0.995,              0.9063,            0.011382,           0.0018241,          0.00048124,            0.005875,            0.005875,            0.005875
                 127,            0.016202,           0.0053957,          0.00058296,             0.95968,              0.9999,               0.995,             0.92298,             0.01105,           0.0017532,          0.00050151,            0.005842,            0.005842,            0.005842
                 128,            0.018456,            0.005722,          0.00053623,             0.97141,             0.99993,               0.995,             0.88428,            0.013139,           0.0018881,          0.00049784,            0.005809,            0.005809,            0.005809
                 129,            0.017946,           0.0059949,          0.00054453,             0.98012,                   1,               0.995,             0.88814,            0.011424,           0.0017395,          0.00048025,            0.005776,            0.005776,            0.005776
                 130,            0.016406,           0.0053496,          0.00053519,             0.98252,             0.99997,               0.995,             0.89182,            0.011491,           0.0016633,          0.00042448,            0.005743,            0.005743,            0.005743
                 131,            0.018426,           0.0057269,          0.00043227,             0.97904,             0.99994,               0.995,             0.93534,            0.013078,           0.0017982,          0.00043826,             0.00571,             0.00571,             0.00571
                 132,            0.018172,           0.0056704,          0.00056567,             0.97424,             0.99993,               0.995,             0.89538,            0.011715,           0.0018593,          0.00041548,            0.005677,            0.005677,            0.005677
                 133,            0.016487,           0.0055381,          0.00046723,             0.96787,             0.99993,               0.995,             0.90402,             0.01228,           0.0018021,          0.00037849,            0.005644,            0.005644,            0.005644
                 134,            0.018055,           0.0057905,          0.00044556,             0.96815,             0.99999,               0.995,             0.90555,            0.013369,           0.0018436,          0.00041577,            0.005611,            0.005611,            0.005611
                 135,             0.01804,           0.0055008,          0.00048272,             0.97056,                   1,               0.995,             0.89338,            0.014341,           0.0019235,          0.00044885,            0.005578,            0.005578,            0.005578
                 136,            0.018395,           0.0055567,           0.0004838,             0.97883,             0.99997,               0.995,             0.92815,            0.011522,           0.0018249,          0.00045152,            0.005545,            0.005545,            0.005545
                 137,            0.017027,           0.0055213,          0.00038264,              0.9827,             0.99988,               0.995,             0.92564,            0.012639,           0.0018993,          0.00039901,            0.005512,            0.005512,            0.005512
                 138,            0.017126,           0.0056941,          0.00042674,             0.98062,             0.99988,               0.995,             0.90827,            0.012267,           0.0019326,          0.00041465,            0.005479,            0.005479,            0.005479
                 139,            0.016741,           0.0054194,          0.00043791,             0.97645,                   1,               0.995,             0.92491,            0.010546,           0.0017441,          0.00041692,            0.005446,            0.005446,            0.005446
                 140,            0.016661,           0.0055648,          0.00054974,             0.97694,             0.99998,               0.995,             0.93203,            0.010259,           0.0017187,          0.00040381,            0.005413,            0.005413,            0.005413
                 141,            0.016572,           0.0056712,          0.00041308,             0.98101,                   1,               0.995,             0.94589,            0.011076,           0.0016936,          0.00042368,             0.00538,             0.00538,             0.00538
                 142,            0.016224,            0.005365,          0.00043567,             0.98558,                   1,               0.995,             0.92043,            0.011117,            0.001692,           0.0004358,            0.005347,            0.005347,            0.005347
                 143,            0.015964,           0.0056462,          0.00046317,             0.98137,             0.99991,               0.995,             0.89197,            0.010895,           0.0016813,          0.00044448,            0.005314,            0.005314,            0.005314
                 144,            0.015849,           0.0053856,          0.00048886,             0.98298,             0.99998,               0.995,             0.90032,           0.0099315,           0.0016236,          0.00041905,            0.005281,            0.005281,            0.005281
                 145,            0.015178,           0.0048723,          0.00045904,             0.98626,             0.99999,               0.995,             0.87918,            0.013125,            0.001835,          0.00037615,            0.005248,            0.005248,            0.005248
                 146,            0.015487,           0.0055788,          0.00041342,             0.98914,                   1,               0.995,             0.90344,            0.010028,           0.0018575,          0.00037618,            0.005215,            0.005215,            0.005215
